,2020年,2019年,2018年,2017年,2016年,2015年,2014年,2013年,2012年,2011年,2010年,2009年,2008年,2007年,2006年,2005年,2004年,2003年,2002年,2001年,2000年,1999年,1998年,1997年,1996年,1995年,1994年,1993年,1992年,1991年,1990年,1989年,1988年,1987年,1986年,1985年,1984年,1983年,1982年,1981年,1980年,1979年,1978年,1977年,1976年,1975年,1974年,1973年,1972年,1971年,1970年,1969年,1968年,1967年,1966年,1965年,1964年,1963年,1962年,1961年,1960年,1959年,1958年,1957年,1956年,1955年,1954年,1953年,1952年
普陀区_地区生产总值(亿元)_第三产业_本期值,260.65,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
岱山县_地区生产总值(亿元)_本期值,384.79,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
岱山县_地区生产总值(亿元)_第一产业_本期值,36.27,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
岱山县_地区生产总值(亿元)_第二产业_本期值,256.05,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
岱山县_地区生产总值(亿元)_工业_本期值,247.81,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
岱山县_地区生产总值(亿元)_第三产业_本期值,92.48,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
嵊泗县_地区生产总值(亿元)_本期值,116.49,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
嵊泗县_地区生产总值(亿元)_第一产业_本期值,35.24,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
嵊泗县_地区生产总值(亿元)_第二产业_本期值,19.57,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
嵊泗县_地区生产总值(亿元)_工业_本期值,8.10,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
嵊泗县_地区生产总值(亿元)_第三产业_本期值,61.68,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
台州市_地区生产总值(亿元)_本期值,,5134.05,4880.32,4386.04,3874.87,3571.47,3192.67,2944.22,2944.22,2788.35,2451.68,2056.51,1964.48,1729.75,1469.11,1256.11,1081.64,908.87,782.85,680.80,613.31,550.62,505.42,505.42,445.79,380.84,270.08,177.84,126.19,100.53,78.91,72.92,62.08,45.78,38.32,33.78,25.26,20.27,18.25,15.87,14.28,12.53,10.13,,,,,,,,,,,,,,,,,,,,,,,,,,
台州市_地区生产总值(亿元)_第一产业_本期值,,282.08,268.47,255.90,243.79,221.34,205.21,195.70,195.70,185.13,157.66,130.48,121.83,112.97,105.97,102.64,94.24,90.72,89.17,86.96,84.60,88.41,87.45,87.45,90.80,83.09,63.82,41.51,33.38,29.99,23.89,22.33,20.33,16.67,14.56,13.44,10.60,8.81,8.62,6.69,6.18,5.89,4.74,,,,,,,,,,,,,,,,,,,,,,,,,,
台州市_地区生产总值(亿元)_第二产业_本期值,,2339.9,2267.74,2019.90,1748.84,1650.58,1550.89,1457.21,1457.21,1421.25,1277.99,1076.25,1059.90,944.58,794.06,665.26,565.28,472.96,403.27,355.33,322.38,282.67,256.44,256.44,222.63,187.49,130.91,85.01,52.10,38.46,31.90,30.79,25.59,18.11,14.49,12.76,9.01,6.81,5.66,5.50,4.88,3.90,3.03,,,,,,,,,,,,,,,,,,,,,,,,,,
台州市_地区生产总值(亿元)_工业_本期值,,1966.42,1895.85,1699.92,1470.43,1377.30,1356.65,1283.33,1283.33,1263.79,1148.50,971.20,967.47,861.38,721.02,606.22,508.97,427.25,367.47,323.00,292.99,257.13,233.06,233.06,200.15,164.80,117.05,74.81,45.42,33.30,27.90,27.43,22.48,15.78,12.88,11.31,8.02,6.02,4.87,4.79,4.19,3.34,2.52,,,,,,,,,,,,,,,,,,,,,,,,,,
台州市_地区生产总值(亿元)_第三产业_本期值,,2512.07,2344.11,2110.23,1882.25,1699.55,1436.57,1291.31,1291.31,1181.97,1016.03,849.78,782.74,672.20,569.08,488.21,422.11,345.19,290.42,238.51,206.33,179.54,161.53,161.53,132.36,110.26,75.36,51.32,40.72,32.08,23.12,19.80,16.16,11.00,9.27,7.58,5.64,4.65,3.97,3.68,3.22,2.74,2.36,,,,,,,,,,,,,,,,,,,,,,,,,,
椒江区_地区生产总值(亿元)_本期值,691.90,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
椒江区_地区生产总值(亿元)_第一产业_本期值,22.87,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
椒江区_地区生产总值(亿元)_第二产业_本期值,276.58,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
椒江区_地区生产总值(亿元)_工业_本期值,232.95,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
椒江区_地区生产总值(亿元)_第三产业_本期值,392.46,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
黄岩区_地区生产总值(亿元)_本期值,557.38,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
黄岩区_地区生产总值(亿元)_第一产业_本期值,19.26,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
黄岩区_地区生产总值(亿元)_第二产业_本期值,253.70,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
黄岩区_地区生产总值(亿元)_工业_本期值,229.12,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
黄岩区_地区生产总值(亿元)_第三产业_本期值,284.42,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
路桥区_地区生产总值(亿元)_本期值,669.39,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
路桥区_地区生产总值(亿元)_第一产业_本期值,14.20,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
路桥区_地区生产总值(亿元)_第二产业_本期值,266.92,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
路桥区_地区生产总值(亿元)_工业_本期值,211.97,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
路桥区_地区生产总值(亿元)_第三产业_本期值,388.27,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
三门县_地区生产总值(亿元)_本期值,273.39,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
三门县_地区生产总值(亿元)_第一产业_本期值,34.91,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
三门县_地区生产总值(亿元)_第二产业_本期值,114.23,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
三门县_地区生产总值(亿元)_工业_本期值,95.72,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
三门县_地区生产总值(亿元)_第三产业_本期值,124.25,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
天台县_地区生产总值(亿元)_本期值,301.70,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
天台县_地区生产总值(亿元)_第一产业_本期值,16.63,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
天台县_地区生产总值(亿元)_第二产业_本期值,120.18,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
天台县_地区生产总值(亿元)_工业_本期值,96.22,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
天台县_地区生产总值(亿元)_第三产业_本期值,164.88,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
仙居县_地区生产总值(亿元)_本期值,260.50,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
仙居县_地区生产总值(亿元)_第一产业_本期值,16.72,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
仙居县_地区生产总值(亿元)_第二产业_本期值,108.83,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
仙居县_地区生产总值(亿元)_工业_本期值,86.14,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
仙居县_地区生产总值(亿元)_第三产业_本期值,134.96,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
温岭市_地区生产总值(亿元)_本期值,1136.87,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
温岭市_地区生产总值(亿元)_第一产业_本期值,81.39,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
温岭市_地区生产总值(亿元)_第二产业_本期值,502.45,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
温岭市_地区生产总值(亿元)_工业_本期值,379.80,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
温岭市_地区生产总值(亿元)_第三产业_本期值,553.03,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
临海市_地区生产总值(亿元)_本期值,738.48,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
临海市_地区生产总值(亿元)_第一产业_本期值,49.70,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
临海市_地区生产总值(亿元)_第二产业_本期值,323.38,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
临海市_地区生产总值(亿元)_工业_本期值,263.96,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
临海市_地区生产总值(亿元)_第三产业_本期值,365.40,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
玉环市_地区生产总值(亿元)_本期值,632.56,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
玉环市_地区生产总值(亿元)_第一产业_本期值,38.60,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
玉环市_地区生产总值(亿元)_第二产业_本期值,334.84,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
玉环市_地区生产总值(亿元)_工业_本期值,306.95,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
玉环市_地区生产总值(亿元)_第三产业_本期值,259.13,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
丽水市_地区生产总值(亿元)_本期值,,1476.61,1354.22,1215.42,1134.13,1038.63,936.50,844.24,844.24,756.30,641.93,546.63,514.34,440.68,360.93,319.00,261.89,220.29,185.10,158.97,136.76,122.17,116.05,116.05,106.56,94.43,77.51,55.63,40.49,31.72,26.45,23.34,21.76,17.41,14.62,13.59,10.19,8.82,7.98,7.16,6.44,5.62,4.77,,,,,,,,,,,,,,,,,,,,,,,,,,
丽水市_地区生产总值(亿元)_第一产业_本期值,,100.04,93.85,92.53,89.44,86.01,80.34,76.28,76.28,70.26,61.29,57.50,54.66,50.09,43.53,43.83,40.71,39.01,37.57,36.74,35.29,34.51,34.58,34.58,34.17,32.76,25.81,18.14,13.27,11.66,10.33,9.89,9.51,8.05,7.09,7.08,5.27,4.70,4.32,3.91,3.53,3.24,2.78,,,,,,,,,,,,,,,,,,,,,,,,,,
丽水市_地区生产总值(亿元)_第二产业_本期值,,571.34,529.44,474.18,470.40,443.62,428.07,389.95,389.95,354.45,303.91,260.68,253.64,208.72,166.18,145.48,115.46,91.28,74.59,62.66,51.11,43.31,40.53,40.53,38.38,34.04,27.89,21.72,13.72,9.29,7.43,7.16,6.52,5.28,4.03,3.64,2.67,2.20,1.99,1.76,1.61,1.30,1.03,,,,,,,,,,,,,,,,,,,,,,,,,,
丽水市_地区生产总值(亿元)_工业_本期值,,448.72,409.59,363.89,377.38,359.74,362.13,326.52,326.52,294.43,253.71,220.45,215.04,172.71,133.42,115.75,88.29,72.60,59.98,50.67,40.45,35.29,33.07,33.07,31.70,27.95,22.32,18.63,11.38,7.50,5.99,5.97,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
丽水市_地区生产总值(亿元)_第三产业_本期值,,805.23,730.93,648.71,574.30,509.00,428.09,378.02,378.02,331.59,276.73,228.45,206.04,181.87,151.22,129.69,105.71,90.00,72.94,59.57,50.37,44.35,40.94,40.94,34.02,27.64,23.81,15.76,13.49,10.77,8.69,6.30,5.73,4.08,3.50,2.88,2.26,1.92,1.67,1.49,1.31,1.08,0.97,,,,,,,,,,,,,,,,,,,,,,,,,,
莲都区_地区生产总值(亿元)_本期值,406.97,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
莲都区_地区生产总值(亿元)_第一产业_本期值,21.23,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
莲都区_地区生产总值(亿元)_第二产业_本期值,119.28,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
莲都区_地区生产总值(亿元)_工业_本期值,87.33,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
莲都区_地区生产总值(亿元)_第三产业_本期值,266.45,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
青田县_地区生产总值(亿元)_本期值,249.13,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
青田县_地区生产总值(亿元)_第一产业_本期值,10.01,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
青田县_地区生产总值(亿元)_第二产业_本期值,97.80,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
青田县_地区生产总值(亿元)_工业_本期值,81.40,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
青田县_地区生产总值(亿元)_第三产业_本期值,141.32,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
缙云县_地区生产总值(亿元)_本期值,243.44,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
缙云县_地区生产总值(亿元)_第一产业_本期值,12.04,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
缙云县_地区生产总值(亿元)_第二产业_本期值,106.71,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
缙云县_地区生产总值(亿元)_工业_本期值,85.54,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
缙云县_地区生产总值(亿元)_第三产业_本期值,124.69,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
遂昌县_地区生产总值(亿元)_本期值,130.81,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
遂昌县_地区生产总值(亿元)_第一产业_本期值,12.18,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
遂昌县_地区生产总值(亿元)_第二产业_本期值,46.84,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
遂昌县_地区生产总值(亿元)_工业_本期值,37.87,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
遂昌县_地区生产总值(亿元)_第三产业_本期值,71.78,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
松阳县_地区生产总值(亿元)_本期值,119.49,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
松阳县_地区生产总值(亿元)_第一产业_本期值,13.40,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
松阳县_地区生产总值(亿元)_第二产业_本期值,45.17,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
松阳县_地区生产总值(亿元)_工业_本期值,36.51,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
松阳县_地区生产总值(亿元)_第三产业_本期值,60.92,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
云和县_地区生产总值(亿元)_本期值,86.99,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
云和县_地区生产总值(亿元)_第一产业_本期值,4.91,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
云和县_地区生产总值(亿元)_第二产业_本期值,43.99,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
云和县_地区生产总值(亿元)_工业_本期值,39.16,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
云和县_地区生产总值(亿元)_第三产业_本期值,38.09,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
庆元县_地区生产总值(亿元)_本期值,78.93,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
庆元县_地区生产总值(亿元)_第一产业_本期值,7.56,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
庆元县_地区生产总值(亿元)_第二产业_本期值,28.26,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
庆元县_地区生产总值(亿元)_工业_本期值,20.35,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
庆元县_地区生产总值(亿元)_第三产业_本期值,43.11,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
景宁畲族自治县_地区生产总值(亿元)_本期值,74.76,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
景宁畲族自治县_地区生产总值(亿元)_第一产业_本期值,6.80,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
景宁畲族自治县_地区生产总值(亿元)_第二产业_本期值,16.86,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
景宁畲族自治县_地区生产总值(亿元)_工业_本期值,9.25,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
景宁畲族自治县_地区生产总值(亿元)_第三产业_本期值,51.10,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
龙泉市_地区生产总值(亿元)_本期值,147.16,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
龙泉市_地区生产总值(亿元)_第一产业_本期值,16.18,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
龙泉市_地区生产总值(亿元)_第二产业_本期值,51.13,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
龙泉市_地区生产总值(亿元)_工业_本期值,37.52,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
龙泉市_地区生产总值(亿元)_第三产业_本期值,79.84,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
